State,Year,Quarter,District,Transaction_Count,Transaction_Amount
andhra-pradesh,2020,2,kurnool district,9821381,22419372062
andhra-pradesh,2020,2,chittoor district,14848197,27361300300
andhra-pradesh,2020,2,guntur district,12308707,27463593608
andhra-pradesh,2020,2,krishna district,12313709,26964149095
andhra-pradesh,2020,3,east godavari district,17972431,39300043805
andhra-pradesh,2020,3,srikakulam district,8286289,18029574581
andhra-pradesh,2020,3,spsr nellore district,16468209,39128324534
andhra-pradesh,2020,3,vizianagaram district,8236703,17567816577
andhra-pradesh,2020,3,visakhapatnam district,34421299,67628440368
andhra-pradesh,2020,3,prakasam district,12266310,31221704852
andhra-pradesh,2020,3,anantapur district,14447683,34102037973
andhra-pradesh,2020,3,ysr district,11934653,32037007334
andhra-pradesh,2020,3,west godavari district,10412351,25408608726
andhra-pradesh,2020,3,kurnool district,13243292,32529351107
andhra-pradesh,2020,3,chittoor district,20501863,42811566246
andhra-pradesh,2020,3,guntur district,17601395,42531195810
andhra-pradesh,2020,3,krishna district,19110457,44788458672
andhra-pradesh,2020,4,east godavari district,25989490,58732615663
andhra-pradesh,2020,4,srikakulam district,11092184,25222520275
andhra-pradesh,2020,4,spsr nellore district,20934374,49115443663
andhra-pradesh,2020,4,vizianagaram district,10580824,24094847668
andhra-pradesh,2020,4,visakhapatnam district,46551467,91879823025
andhra-pradesh,2020,4,prakasam district,16176867,41852443494
andhra-pradesh,2020,4,anantapur district,20996384,49732610814
andhra-pradesh,2020,4,ysr district,15676878,42572974713
andhra-pradesh,2020,4,west godavari district,15674762,40310975763
andhra-pradesh,2020,4,kurnool district,18737323,44718203115
andhra-pradesh,2020,4,chittoor district,29590411,61505711150
andhra-pradesh,2020,4,guntur district,26136538,60641872021
andhra-pradesh,2020,4,krishna district,27981050,64461504668
andhra-pradesh,2021,1,east godavari district,26190701,60027984988
andhra-pradesh,2021,1,srikakulam district,11160473,26486623313
andhra-pradesh,2021,1,spsr nellore district,22541428,52210333202
andhra-pradesh,2021,1,vizianagaram district,10514582,24153782497
andhra-pradesh,2021,1,visakhapatnam district,48248923,95308386038
andhra-pradesh,2021,1,prakasam district,15175395,41396223622
andhra-pradesh,2021,1,anantapur district,20102957,48353870395
andhra-pradesh,2021,1,ysr district,15374473,42570919449
andhra-pradesh,2021,1,west godavari district,16015685,42124030669
andhra-pradesh,2021,1,kurnool district,17918524,44941629660
andhra-pradesh,2021,1,chittoor district,29342609,60947491847
andhra-pradesh,2021,1,guntur district,27445045,64207987853
andhra-pradesh,2021,1,krishna district,29717175,69715406645
andhra-pradesh,2021,2,east godavari district,31717908,74604325864
andhra-pradesh,2021,2,srikakulam district,13546232,32298129545
andhra-pradesh,2021,2,spsr nellore district,30290406,72283071757
andhra-pradesh,2021,2,vizianagaram district,12689494,29140685237
andhra-pradesh,2021,2,visakhapatnam district,54390299,1.14439E+11
andhra-pradesh,2021,2,prakasam district,19944047,54535328043
andhra-pradesh,2021,2,anantapur district,25123346,60987487571
andhra-pradesh,2021,2,ysr district,18457361,52523527031
andhra-pradesh,2021,2,west godavari district,20950964,57233116236
andhra-pradesh,2021,2,kurnool district,21972396,56659287475
andhra-pradesh,2021,2,chittoor district,34344902,73654690122
andhra-pradesh,2021,2,guntur district,32968819,82356914464
andhra-pradesh,2021,2,krishna district,36370960,90021923050
andhra-pradesh,2021,3,east godavari district,39572714,89380370073
andhra-pradesh,2021,3,srikakulam district,15639768,34836400770
andhra-pradesh,2021,3,spsr nellore district,34411958,77839676988
andhra-pradesh,2021,3,vizianagaram district,14510005,31383541628
andhra-pradesh,2021,3,visakhapatnam district,69220981,1.36946E+11
andhra-pradesh,2021,3,prakasam district,24116580,63367713447
andhra-pradesh,2021,3,anantapur district,30366444,70291248156
andhra-pradesh,2021,3,ysr district,22439316,60683557725
andhra-pradesh,2021,3,west godavari district,26245039,66647238455
andhra-pradesh,2021,3,kurnool district,26377809,62527453762
andhra-pradesh,2021,3,chittoor district,42628568,89371931753
andhra-pradesh,2021,3,guntur district,41675093,96525353090
andhra-pradesh,2021,3,krishna district,44828275,1.04418E+11
andhra-pradesh,2021,4,east godavari district,48992531,1.06726E+11
andhra-pradesh,2021,4,srikakulam district,18501857,39713657870
andhra-pradesh,2021,4,spsr nellore district,41921081,92256405076
andhra-pradesh,2021,4,vizianagaram district,17253059,36577529465
andhra-pradesh,2021,4,visakhapatnam district,82711538,1.5953E+11
andhra-pradesh,2021,4,prakasam district,27858275,71323060008
andhra-pradesh,2021,4,anantapur district,36129136,81239787007
andhra-pradesh,2021,4,ysr district,26340348,69081850069
andhra-pradesh,2021,4,west godavari district,33235175,81292461575
andhra-pradesh,2021,4,kurnool district,31782248,73968947670
andhra-pradesh,2021,4,chittoor district,51119640,1.03986E+11
andhra-pradesh,2021,4,guntur district,50919286,1.15554E+11
andhra-pradesh,2021,4,krishna district,55489829,1.25015E+11
andhra-pradesh,2022,1,east godavari district,54738830,1.21067E+11
andhra-pradesh,2022,1,srikakulam district,20990782,46898912116
andhra-pradesh,2022,1,spsr nellore district,47645702,1.04896E+11
andhra-pradesh,2022,1,vizianagaram district,19278262,41994853362
andhra-pradesh,2022,1,visakhapatnam district,88233362,1.7012E+11
andhra-pradesh,2022,1,prakasam district,31340975,79494373255
andhra-pradesh,2022,1,anantapur district,40613148,90197023268
andhra-pradesh,2022,1,ysr district,29783739,78421693519
andhra-pradesh,2022,1,west godavari district,37271259,92397939904
andhra-pradesh,2022,1,kurnool district,35093633,81568420501
andhra-pradesh,2022,1,chittoor district,58561024,1.17901E+11
andhra-pradesh,2022,1,guntur district,57226996,1.29674E+11
andhra-pradesh,2022,1,krishna district,61826199,1.3969E+11
andhra-pradesh,2022,2,east godavari district,62072845,1.35531E+11
andhra-pradesh,2022,2,srikakulam district,23727353,53754764122
andhra-pradesh,2022,2,spsr nellore district,54838708,1.21941E+11
andhra-pradesh,2022,2,vizianagaram district,21766135,47294745020
andhra-pradesh,2022,2,visakhapatnam district,101387402,1.93243E+11
andhra-pradesh,2022,2,prakasam district,36163507,90435082546
andhra-pradesh,2022,2,anantapur district,46099366,1.02139E+11
andhra-pradesh,2022,2,ysr district,33154559,87601310070
andhra-pradesh,2022,2,west godavari district,44409239,1.07973E+11
andhra-pradesh,2022,2,kurnool district,40165692,92409350856
andhra-pradesh,2022,2,chittoor district,67507661,1.36435E+11
andhra-pradesh,2022,2,guntur district,66315749,1.47098E+11
andhra-pradesh,2022,2,krishna district,73525814,1.63998E+11
andhra-pradesh,2022,3,east godavari district,61467134,1.29678E+11
andhra-pradesh,2022,3,srikakulam district,22126541,46899962922
andhra-pradesh,2022,3,spsr nellore district,42116582,95099325968
andhra-pradesh,2022,3,vizianagaram district,20440645,42513313395
andhra-pradesh,2022,3,visakhapatnam district,97434546,1.81124E+11
andhra-pradesh,2022,3,prakasam district,35376080,87475230073
andhra-pradesh,2022,3,anantapur district,45165363,97735649608
andhra-pradesh,2022,3,ysr district,33119038,86016932181
andhra-pradesh,2022,3,west godavari district,43635951,1.01707E+11
andhra-pradesh,2022,3,kurnool district,39557913,88415335176
andhra-pradesh,2022,3,chittoor district,65751781,1.33054E+11
andhra-pradesh,2022,3,guntur district,65612317,1.41589E+11
andhra-pradesh,2022,3,krishna district,71051144,1.53771E+11
andhra-pradesh,2022,4,east godavari district,68016055,1.36531E+11
andhra-pradesh,2022,4,srikakulam district,23693779,47726411108
andhra-pradesh,2022,4,spsr nellore district,42582064,92085916181
andhra-pradesh,2022,4,vizianagaram district,22205190,44467386404
andhra-pradesh,2022,4,visakhapatnam district,103790055,1.85306E+11
andhra-pradesh,2022,4,prakasam district,37211077,88105031866
andhra-pradesh,2022,4,anantapur district,48299601,1.01534E+11
andhra-pradesh,2022,4,ysr district,35201596,87360426793
andhra-pradesh,2022,4,west godavari district,47919930,1.05336E+11
andhra-pradesh,2022,4,kurnool district,43524766,94667441029
andhra-pradesh,2022,4,chittoor district,70322534,1.36841E+11
andhra-pradesh,2022,4,guntur district,70723763,1.46939E+11
andhra-pradesh,2022,4,krishna district,76526667,1.57826E+11
andhra-pradesh,2023,1,east godavari district,115196449,2.23455E+11
andhra-pradesh,2023,1,srikakulam district,42209999,86486032409
andhra-pradesh,2023,1,spsr nellore district,71318689,1.43967E+11
andhra-pradesh,2023,1,vizianagaram district,38838861,76472384525
andhra-pradesh,2023,1,visakhapatnam district,164358781,2.77211E+11
andhra-pradesh,2023,1,prakasam district,63671149,1.41673E+11
andhra-pradesh,2023,1,anantapur district,82127373,1.62288E+11
andhra-pradesh,2023,1,ysr district,59768512,1.40118E+11
andhra-pradesh,2023,1,west godavari district,79094558,1.65941E+11
andhra-pradesh,2023,1,kurnool district,72405172,1.491E+11
andhra-pradesh,2023,1,chittoor district,120192355,2.18037E+11
andhra-pradesh,2023,1,guntur district,114246185,2.26244E+11
andhra-pradesh,2023,1,krishna district,122104381,2.38059E+11
andhra-pradesh,2023,2,east godavari district,131243375,2.45135E+11
andhra-pradesh,2023,2,srikakulam district,47633204,93082175904
andhra-pradesh,2023,2,spsr nellore district,82056071,1.65181E+11
andhra-pradesh,2023,2,vizianagaram district,43625851,82671020353
andhra-pradesh,2023,2,visakhapatnam district,184918179,3.03875E+11
andhra-pradesh,2023,2,prakasam district,73598725,1.58429E+11
andhra-pradesh,2023,2,anantapur district,91695174,1.8005E+11
andhra-pradesh,2023,2,ysr district,66809788,1.56232E+11
andhra-pradesh,2023,2,west godavari district,92533269,1.877E+11
andhra-pradesh,2023,2,kurnool district,81475907,1.66992E+11
andhra-pradesh,2023,2,chittoor district,136283483,2.45551E+11
andhra-pradesh,2023,2,guntur district,132035450,2.54141E+11
andhra-pradesh,2023,2,krishna district,141748488,2.67001E+11
andhra-pradesh,2023,3,east godavari district,148701666,2.60414E+11
andhra-pradesh,2023,3,srikakulam district,51382393,91818203167
andhra-pradesh,2023,3,spsr nellore district,93875073,1.76594E+11
andhra-pradesh,2023,3,vizianagaram district,47856766,83289704541
andhra-pradesh,2023,3,visakhapatnam district,209884966,3.28927E+11
andhra-pradesh,2023,3,prakasam district,84447202,1.71207E+11
andhra-pradesh,2023,3,anantapur district,104539628,1.92477E+11
andhra-pradesh,2023,3,ysr district,76091693,1.68219E+11
andhra-pradesh,2023,3,west godavari district,102962058,1.91892E+11
andhra-pradesh,2023,3,kurnool district,92890445,1.72979E+11
andhra-pradesh,2023,3,chittoor district,152863845,2.65405E+11
andhra-pradesh,2023,3,guntur district,150246761,2.70652E+11
andhra-pradesh,2023,3,krishna district,159421907,2.7954E+11
andhra-pradesh,2023,4,east godavari district,162793144,2.82329E+11
andhra-pradesh,2023,4,srikakulam district,56291337,97021746702
andhra-pradesh,2023,4,spsr nellore district,97721962,1.79306E+11
andhra-pradesh,2023,4,vizianagaram district,53248760,90289502507
andhra-pradesh,2023,4,visakhapatnam district,223584765,3.44513E+11
andhra-pradesh,2023,4,prakasam district,89721677,1.7493E+11
andhra-pradesh,2023,4,anantapur district,113698752,2.03367E+11
andhra-pradesh,2023,4,ysr district,83729195,1.76645E+11
andhra-pradesh,2023,4,west godavari district,114825704,2.09238E+11
andhra-pradesh,2023,4,kurnool district,103816175,1.90598E+11
andhra-pradesh,2023,4,chittoor district,163521593,2.74132E+11
andhra-pradesh,2023,4,guntur district,160724947,2.81807E+11
andhra-pradesh,2023,4,krishna district,173309415,2.98339E+11
